timestamp,rmssd,coverage,low_frequency,high_frequency
2025-02-15T22:40:00,32.664,0.745,1597.177,337.054
2025-02-15T22:45:00,27.347,0.774,1940.21,123.095
2025-02-15T22:50:00,17.825,1.001,566.487,75.154
2025-02-15T22:55:00,21.466,0.942,409.384,86.639
2025-02-15T23:00:00,21.866,0.955,765.259,94.158
2025-02-15T23:05:00,24.654,0.955,410.68,129.026
2025-02-15T23:10:00,30.828,0.989,2047.669,327.16
2025-02-15T23:15:00,30.541,0.99,1805.02,154.565
2025-02-15T23:20:00,29.763,0.963,1555.143,181.254
2025-02-15T23:25:00,38.447,0.955,4619.465,217.994
2025-02-15T23:30:00,30.746,0.992,1121.767,193.085
2025-02-15T23:35:00,30.589,1.004,970.278,170.733
2025-02-15T23:40:00,25.672,1.0,1105.561,172.38
2025-02-15T23:45:00,43.363,0.998,3188.949,509.329
2025-02-15T23:50:00,34.781,0.976,1424.181,243.416
2025-02-15T23:55:00,32.859,1.003,2174.037,222.858